MLLLPAxtime_Model1		
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Language		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Language		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPAxtime_Model1		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
